"CTDID","Region","Year","Mission","Location","Latitude","Longitude","UTCDate","UTCTime","Sample_Depth_m","DIC_umol_kg","TA_umol_kg","pH_measured","pH_calculated","pCO2_uatm","Aragonite_Sat_W","Salinity_Bottle","Conductivity_Sm","Salinity_CTD","Temperature_C","SiteID","Survey_design","Sample_frequency","bottle_id","sample_num","bottle_name","deployment_id","project_code","collected_date","collected_time","collected_timezone","calc_avg_dic","dic_machine","calc_avg_ta","calc_avg_ta_temp","UTCDate_Time","datetime","ESTDate","ESTTime","Month","Months","MY","MoY","ToD","Season","Precipitation","dec.lon","dec.lat","Zone","Sub_region","Reference","Transect","Extreme","BestSalinity","n35TA","n35DIC","TA_0","DIC_0","nTA","nDIC","Date"
"WS10067_11","FL",2010,"WaltonSmith","Middle_Keys",24.7183333333333,-80.6876666666667,10-03-08,"11:33:00 PM",0,2067.29,2408.08,NA,8.13215908777893,324.661952439034,3.72445019310688,NA,"",36.5065,21.344,"9.5","Permanent","Single",10032,1041,"11",517,"Walton Smith","03/08/10","11:33:00 PM","12:00:00 AM",2080.49,"SOMMA",2404.95,NA,2010-03-08 23:33:00,2010-03-08 18:33:00,2010-03-08,"18:33:00","Mar","March","2010-03",3,18.55,"Winter","Dry",-80.69,24.71666667,"Oceanic","MK","MK_5","T1","ColdMortality",36.5065,2375.18027088092,2039.0462203039,2130.95872465201,1796.28929350024,2404.29390697482,2063.58752755933,2010-03-08
"WS10067_12","FL",2010,"WaltonSmith","Middle_Keys",24.7126333333333,-80.8341,10-03-09,"12:42:00 AM",0,2073.49,2413.73,NA,8.148732040225,311.447373755433,3.70022675291682,NA,"",36.48,20.17,"12","Permanent","Single",10033,1042,"12",517,"Walton Smith","03/09/10","12:42:00 AM","12:00:00 AM",2086.69,"SOMMA",2410.6,NA,2010-03-09 00:42:00,2010-03-08 19:42:00,2010-03-08,"19:42:00","Mar","March","2010-03",3,19.7,"Winter","Dry",-80.83166667,24.71333333,"Offshore","MK","MK_6","T2","ColdMortality",36.48,2382.48251891339,2046.64717186335,2130.95872465201,1796.28929350024,2410.06932126697,2069.90143631079,2010-03-08
"WS10067_13","FL",2010,"WaltonSmith","Middle_Keys",24.753,-80.8466666666667,10-03-09,"01:16:00 AM",0,2071.995,2408.63,NA,8.13933374701903,318.921584089293,3.66492739809719,NA,"",36.511,20.442,"11","Permanent","Single",10034,1043,"13",517,"Walton Smith","03/09/10","01:16:00 AM","12:00:00 AM",2071.75,"SOMMA",2405.5,NA,2010-03-09 01:16:00,2010-03-08 20:16:00,2010-03-08,"20:16:00","Mar","March","2010-03",3,20.2666666666667,"Winter","Dry",-80.84666667,24.75333333,"Mid channel","MK","MK_6","T2","ColdMortality",36.511,2375.42994757522,2043.43505404571,2130.95872465201,1796.28929350024,2404.80263718445,2068.19473017458,2010-03-08
"WS10067_14","FL",2010,"WaltonSmith","Middle_Keys",24.7865,-80.8613333333333,10-03-09,"01:42:00 AM",0,2334.335,2724.33,NA,8.2276104625949,287.173526702934,4.41991819359113,NA,"",35,17.95,"10","Permanent","Single",10035,1044,"14",517,"Walton Smith","03/09/10","01:42:00 AM","12:00:00 AM",2334.09,"SOMMA",2721.2,NA,2010-03-09 01:42:00,2010-03-08 20:42:00,2010-03-08,"20:42:00","Mar","March","2010-03",3,20.7,"Winter","Dry",-80.86,24.78833333,"Inshore","MK","MK_6","T2","ColdMortality",35,2802.77046675724,2401.54650777173,2130.95872465201,1796.28929350024,2741.41468496791,2349.82671956208,2010-03-08
"WS10067_15","FL",2010,"WaltonSmith","Middle_Keys",24.59735,-81.1865,10-03-09,"05:38:00 AM",0,2339.885,2722.78,NA,8.18379700011274,321.058450128523,4.31281767443397,NA,"",36.193,19.19967,"18","Permanent","Single",10038,1047,"17",517,"Walton Smith","03/09/10","05:38:00 AM","12:00:00 AM",2339.64,"SOMMA",2719.65,NA,2010-03-09 05:38:00,2010-03-09 00:38:00,2010-03-09,"00:38:00","Mar","March","2010-03",3,0.633333333333333,"Winter","Dry",-81.18333333,24.59833333,"Offshore","LK","LK_8","T1","ColdMortality",36.193,2708.84299006688,2327.90790288332,2130.95872465201,1796.28929350024,2719.75066270754,2337.10251343807,2010-03-09
"WS10067_16","FL",2010,"WaltonSmith","Middle_Keys",24.6351833333333,-81.1858833333333,10-03-09,"06:05:00 AM",0,2310.755,2678.78,NA,8.19714182474069,306.563655639972,4.13766381771843,NA,"",35.5233333333333,17.91567,"17","Permanent","Single",10037,1046,"16",517,"Walton Smith","03/09/10","06:05:00 AM","12:00:00 AM",2310.51,"SOMMA",2675.65,NA,2010-03-09 06:05:00,2010-03-09 01:05:00,2010-03-09,"01:05:00","Mar","March","2010-03",3,1.08333333333333,"Winter","Dry",-81.19333333,24.635,"Mid channel","LK","LK_8","T1","ColdMortality",35.5233333333333,2715.30863598941,2342.2651382927,2130.95872465201,1796.28929350024,2686.2502528593,2317.77040646181,2010-03-09
"WS10067_17","FL",2010,"WaltonSmith","Middle_Keys",24.6736333333333,-81.2035833333333,10-03-09,"06:36:00 AM",0,2176.96,2481.23,NA,8.12809823494185,343.121859125177,3.35060761098785,NA,"",35.9756666666667,17.505,"16","Permanent","Single",10036,1045,"15",517,"Walton Smith","03/09/10","06:36:00 AM","12:00:00 AM",2176.715,"SOMMA",2478.1,NA,2010-03-09 06:36:00,2010-03-09 01:36:00,2010-03-09,"01:36:00","Mar","March","2010-03",3,1.6,"Winter","Dry",-81.205,24.675,"Inshore","LK","LK_8","T1","ColdMortality",35.9756666666667,2483.442087907,2178.90082245097,2130.95872465201,1796.28929350024,2481.54227691603,2177.29937888321,2010-03-09
"WS10067_18","FL",2010,"WaltonSmith","Lower_Keys",24.6091833333333,-81.4200666666667,10-03-09,"08:12:00 AM",0,2162.605,2510.08,NA,8.17668765813274,301.264885875376,3.79536205357643,NA,"",36.408,18.17867,"19","Permanent","Single",10039,1048,"18",517,"Walton Smith","03/09/10","08:12:00 AM","12:00:00 AM",2162.36,"SOMMA",2506.95,NA,2010-03-09 08:12:00,2010-03-09 03:12:00,2010-03-09,"03:12:00","Mar","March","2010-03",3,3.2,"Winter","Dry",-81.42166667,24.61,"Inshore","LK","LK_9","T2","ColdMortality",36.408,2482.48483958881,2138.82988849716,2130.95872465201,1796.28929350024,2505.9120402503,2158.57782131167,2010-03-09
"WS10067_19","FL",2010,"WaltonSmith","Lower_Keys",24.5765833333333,-81.4179666666667,10-03-09,"08:34:00 AM",0,2184.395,2479.03,NA,8.08431017158371,385.573902179822,3.26776695945825,NA,"",36.31,19.069,"20","Permanent","Single",10040,1049,"19",517,"Walton Smith","03/09/10","08:34:00 AM","12:00:00 AM",2184.15,"SOMMA",2475.9,NA,2010-03-09 08:34:00,2010-03-09 03:34:00,2010-03-09,"03:34:00","Mar","March","2010-03",3,3.56666666666667,"Winter","Dry",-81.41833333,24.575,"Mid channel","LK","LK_9","T2","ColdMortality",36.31,2458.39349249505,2166.21116042917,2130.95872465201,1796.28929350024,2476.13250562277,2181.16424187085,2010-03-09
"WS10067_20","FL",2010,"WaltonSmith","Lower_Keys",24.5383166666667,-81.4123666666667,10-03-09,"08:54:00 AM",0,2137.075,2454.28,NA,8.11158267523773,352.744963440048,3.49099428565748,NA,"",36.3956666666667,19.87667,"21LK","Permanent","Single",10041,1050,"20",517,"Walton Smith","03/09/10","08:54:00 AM","12:00:00 AM",2136.83,"SOMMA",2451.15,NA,2010-03-09 08:54:00,2010-03-09 03:54:00,2010-03-09,"03:54:00","Mar","March","2010-03",3,3.9,"Winter","Dry",-81.42,24.54,"Offshore","LK","LK_9","T2","ColdMortality",36.3956666666667,2428.12082429115,2114.29678381114,2130.95872465201,1796.28929350024,2450.83384958023,2133.44270328757,2010-03-09
"WS10067_21","FL",2010,"WaltonSmith","Lower_Keys",24.4840666666667,-81.3929333333333,10-03-09,"09:26:00 AM",0,2064.175,2417.63,NA,8.12800096495622,328.40147623204,3.88658201427445,NA,"",36.5403333333333,22.76667,"21.5","Permanent","Single",10043,1052,"21",517,"Walton Smith","03/09/10","09:26:00 AM","12:00:00 AM",2063.93,"SOMMA",2413.2,NA,2010-03-09 09:26:00,2010-03-09 04:26:00,2010-03-09,"04:26:00","Mar","March","2010-03",3,4.43333333333333,"Winter","Dry",-81.39166667,24.48333333,"Oceanic","LK","LK_9","T2","ColdMortality",36.5403333333333,2382.39185400587,2034.08863442403,2130.95872465201,1796.28929350024,2413.45162520608,2060.27043410887,2010-03-09
"WS10067_22","FL",2010,"WaltonSmith","Lower_Keys",24.396,-81.8226833333333,10-03-09,"12:48:00 PM",0,2084.405,2420.98,NA,8.1066369671136,350.041045809523,3.70946819542006,NA,"",36.5583333333333,22.41333,"22.5","Permanent","Single",10044,1053,"22",517,"Walton Smith","03/09/10","12:48:00 PM","12:00:00 AM",2084.16,"SOMMA",2416.55,NA,2010-03-09 12:48:00,2010-03-09 07:48:00,2010-03-09,"07:48:00","Mar","March","2010-03",3,7.8,"Winter","Dry",-81.82833333,24.39666667,"Oceanic","LK","LK_10","T3","ColdMortality",36.5583333333333,2384.5183972196,2053.01244527279,2130.95872465201,1796.28929350024,2416.61208265264,2080.06578181349,2010-03-09
"WS10067_23","FL",2010,"WaltonSmith","Lower_Keys",24.4862333333333,-81.8278833333333,10-03-09,"01:56:00 PM",0,2120.935,2430.33,NA,8.12087139156928,340.691738855738,3.37177043270026,NA,"",36.5073333333333,18.584,"23","Permanent","Single",10045,1054,"23",517,"Walton Smith","03/09/10","01:56:00 PM","12:00:00 AM",2120.69,"SOMMA",2425.9,NA,2010-03-09 13:56:00,2010-03-09 08:56:00,2010-03-09,"08:56:00","Mar","March","2010-03",3,8.93333333333333,"Winter","Dry",-81.82833333,24.48666667,"Mid channel","LK","LK_10","T3","ColdMortality",36.5073333333333,2397.07156847291,2091.91055826949,2130.95872465201,1796.28929350024,2426.23318225824,2116.4923082667,2010-03-09
"WS10067_24","FL",2010,"WaltonSmith","Lower_Keys",24.5357166666667,-81.8294666666667,10-03-09,"02:30:00 PM",0,2178.435,2459.03,NA,8.08016941842819,387.151768442894,3.09683444081217,NA,"",36.3605333333333,17.9201,"24","Permanent","Single",10046,1055,"24",517,"Walton Smith","03/09/10","02:30:00 PM","12:00:00 AM",2178.19,"SOMMA",2454.6,NA,2010-03-09 14:30:00,2010-03-09 09:30:00,2010-03-09,"09:30:00","Mar","March","2010-03",3,9.5,"Winter","Dry",-81.82833333,24.53666667,"Inshore","LK","LK_10","T3","ColdMortality",36.3605333333333,2435.17090633979,2157.29841984535,2130.95872465201,1796.28929350024,2455.84684107727,2174.72717610065,2010-03-09
"WS10180_1","FL",2010,"WaltonSmith","Upper_Keys",25.645,-80.1266666666667,10-06-29,"02:59:00 PM",0,1786.825,2142.38,NA,8.06113100358936,340.192565366128,3.88240094390995,NA,"",36.773,30.2955,"1","Permanent","Single",10069,1078,"173",517,"Walton Smith","06/29/10","02:59:00 PM","12:00:00 AM",1788.74,"SOMMA",2123.65,NA,2010-06-29 14:59:00,2010-06-29 09:59:00,2010-06-29,"09:59:00","Jun","June","2010-06",6,9.98333333333333,"Spring","Wet",-80.12666667,25.645,"Inshore","BB","BB_1","T1","Normal",36.773,2097.79626461641,1749.6404981951,2130.95872465201,1796.28929350024,2142.14231895469,1787.02195551536,2010-06-29
"WS10180_2","FL",2010,"WaltonSmith","Upper_Keys",25.6474666666667,-80.0832833333333,10-06-29,"03:31:00 PM",0,2054.335,2364.58,NA,7.96559268856442,500.286831262754,3.57405921332128,NA,"",36.4915,29.6325,"3","Permanent","Single",10070,1079,"174",517,"Walton Smith","06/29/10","03:31:00 PM","12:00:00 AM",2056.25,"SOMMA",2345.85,NA,2010-06-29 15:31:00,2010-06-29 10:31:00,2010-06-29,"10:31:00","Jun","June","2010-06",6,10.5166666666667,"Spring","Wet",-80.08333333,25.645,"Offshore","BB","BB_1","T1","Normal",36.4915,2333.23326990006,2027.10112134931,2130.95872465201,1796.28929350024,2361.48293284053,2050.91414339329,2010-06-29
"WS10180_3","FL",2010,"WaltonSmith","Upper_Keys",25.0785166666667,-80.33235,10-06-29,"09:51:00 PM",0,2016.705,2395.18,NA,8.05765122837639,387.968376001472,4.31534904097817,NA,"",36.497,30.151,"5.5","Permanent","Single",10071,1080,"175",517,"Walton Smith","06/29/10","09:51:00 PM","12:00:00 AM",2018.62,"SOMMA",2376.45,NA,2010-06-29 21:51:00,2010-06-29 16:51:00,2010-06-29,"16:51:00","Jun","June","2010-06",6,16.85,"Spring","Wet",-80.33416667,25.07966667,"Mid channel","UK","UK_3","T1","Normal",36.497,2363.07145005915,1989.67009105434,2130.95872465201,1796.28929350024,2391.63798561488,2013.75022051792,2010-06-29
"WS10180_4","FL",2010,"WaltonSmith","Upper_Keys",25.0677833333333,-80.3156333333333,10-06-29,"10:10:00 PM",0,2038.135,2372.23,NA,8.00057950992198,454.232750442573,3.83186234000593,NA,"",36.4345,29.8,"6","Permanent","Single",10072,1081,"176",517,"Walton Smith","06/29/10","10:10:00 PM","12:00:00 AM",2040.05,"SOMMA",2353.5,NA,2010-06-29 22:10:00,2010-06-29 17:10:00,2010-06-29,"17:10:00","Jun","June","2010-06",6,17.1666666666667,"Spring","Wet",-80.315,25.065,"Offshore","UK","UK_3","T1","Normal",36.4345,2344.44389464987,2014.26217408186,2130.95872465201,1796.28929350024,2369.40397171658,2035.30224336204,2010-06-29
"WS10180_5","FL",2010,"WaltonSmith","Middle_Keys",24.8157333333333,-80.7525333333333,10-06-30,"03:03:00 AM",0,1767.625,2188.08,NA,8.13870051284549,273.669434461997,4.54717913755114,NA,"",37.274,30.591,"7","Permanent","Single",10073,1082,"177",517,"Walton Smith","06/30/10","03:03:00 AM","12:00:00 AM",1769.54,"SOMMA",2169.35,NA,2010-06-30 03:03:00,2010-06-29 22:03:00,2010-06-29,"22:03:00","Jun","June","2010-06",6,22.05,"Spring","Wet",-80.75666667,24.82083333,"Inshore","MK","MK_5","T1","Normal",37.274,2113.747270406,1707.5758285124,2130.95872465201,1796.28929350024,2186.13949493871,1768.59877389207,2010-06-29
"WS10180_6","FL",2010,"WaltonSmith","Middle_Keys",24.7930166666667,-80.7415166666667,10-06-30,"03:20:00 AM",0,2030.215,2389.78,NA,8.03667672794383,412.126559669977,4.09967597593155,NA,"",36.545,29.711,"8","Permanent","Single",10074,1083,"178",517,"Walton Smith","06/30/10","03:20:00 AM","12:00:00 AM",2032.13,"SOMMA",2371.05,NA,2010-06-30 03:20:00,2010-06-29 22:20:00,2010-06-29,"22:20:00","Jun","June","2010-06",6,22.3333333333333,"Spring","Wet",-80.74166667,24.7925,"Mid channel","MK","MK_5","T1","Normal",36.545,2354.64706298439,2000.36814559367,2130.95872465201,1796.28929350024,2385.97498382064,2026.77598171682,2010-06-29
"WS10180_7","FL",2010,"WaltonSmith","Middle_Keys",24.7632833333333,-80.7235333333333,10-06-30,"03:48:00 AM",0,2045.015,2391.28,NA,8.01946381015145,434.177025601626,3.9667099579851,NA,"",36.414,29.609,"9","Permanent","Single",10075,1084,"179",517,"Walton Smith","06/30/10","03:48:00 AM","12:00:00 AM",2046.93,"SOMMA",2372.55,NA,2010-06-30 03:48:00,2010-06-29 22:48:00,2010-06-29,"22:48:00","Jun","June","2010-06",6,22.8,"Spring","Wet",-80.72333333,24.76333333,"Offshore","MK","MK_5","T1","Normal",36.414,2364.60121180801,2022.19938575389,2130.95872465201,1796.28929350024,2388.37567421344,2042.2400424703,2010-06-29
"WS10180_8","FL",2010,"WaltonSmith","Middle_Keys",24.7176666666667,-80.6878833333333,10-06-30,"04:30:00 AM",0,2054.475,2388.48,NA,8.00091534278326,457.758212558177,3.8466256528196,NA,"",36.2895,29.716,"9.5","Permanent","Single",10076,1085,"180",517,"Walton Smith","06/30/10","04:30:00 AM","12:00:00 AM",2056.39,"SOMMA",2369.75,NA,2010-06-30 04:30:00,2010-06-29 23:30:00,2010-06-29,"23:30:00","Jun","June","2010-06",6,23.5,"Spring","Wet",-80.69,24.71666667,"Oceanic","MK","MK_5","T1","Normal",36.2895,2369.93529408655,2038.52358542607,2130.95872465201,1796.28929350024,2386.48054582086,2052.47038702518,2010-06-29
"WS10180_9","FL",2010,"WaltonSmith","Middle_Keys",24.7801666666667,-80.8583333333333,10-06-30,"06:42:00 AM",0,2003.435,2375.03,NA,8.04857262625897,393.853186577995,4.20514786045516,NA,"",36.8565,30.0155,"10","Permanent","Single",10077,1086,"181",517,"Walton Smith","06/30/10","06:42:00 AM","12:00:00 AM",2005.35,"SOMMA",2356.3,NA,2010-06-30 06:42:00,2010-06-30 01:42:00,2010-06-30,"01:42:00","Jun","June","2010-06",6,1.7,"Spring","Wet",-80.86,24.78833333,"Inshore","MK","MK_6","T2","Normal",36.8565,2320.33597198984,1957.29834909179,2130.95872465201,1796.28929350024,2369.40933787348,1998.66468843615,2010-06-30
"WS10180_10","FL",2010,"WaltonSmith","Middle_Keys",24.7565833333333,-80.8473666666667,10-06-30,"07:06:00 AM",0,2050.275,2372.78,NA,7.97622125030148,485.56245254938,3.69917824077141,NA,"",36.775,29.931,"11","Permanent","Single",10078,1087,"182",517,"Walton Smith","06/30/10","07:06:00 AM","12:00:00 AM",2052.19,"SOMMA",2354.05,NA,2010-06-30 07:06:00,2010-06-30 02:06:00,2010-06-30,"02:06:00","Jun","June","2010-06",6,2.1,"Spring","Wet",-80.84666667,24.75333333,"Mid channel","MK","MK_6","T2","Normal",36.775,2323.2751961013,2007.49882108185,2130.95872465201,1796.28929350024,2367.73473039446,2044.97593620422,2010-06-30
"WS10180_11","FL",2010,"WaltonSmith","Middle_Keys",24.675,-81.02395,10-06-30,"09:53:00 AM",0,1914.015,2310.18,NA,8.09748956579124,331.474955382985,4.41993958376973,NA,"",36.699,30.001,"14","Permanent","Single",10080,1089,"184",517,"Walton Smith","06/30/10","09:53:00 AM","12:00:00 AM",1915.93,"SOMMA",2291.45,NA,2010-06-30 09:53:00,2010-06-30 04:53:00,2010-06-30,"04:53:00","Jun","June","2010-06",6,4.88333333333333,"Spring","Wet",-81.02333333,24.675,"Mid channel","MK","MK_7","T3","Normal",36.699,2266.66559884773,1877.96273718002,2130.95872465201,1796.28929350024,2306.80419964223,1911.79752620204,2010-06-30
"WS10180_12","FL",2010,"WaltonSmith","Middle_Keys",24.7001,-81.0251166666667,10-06-30,"10:15:00 AM",0,1981.045,2324.68,NA,8.01087643644367,428.981385138778,3.87723297914032,NA,"",37.013,30.141,"13","Permanent","Single",10079,1088,"183",517,"Walton Smith","06/30/10","10:15:00 AM","12:00:00 AM",1982.96,"SOMMA",2305.95,NA,2010-06-30 10:15:00,2010-06-30 05:15:00,2010-06-30,"05:15:00","Jun","June","2010-06",6,5.25,"Spring","Wet",-81.03,24.70166667,"Inshore","MK","MK_7","T3","Normal",37.013,2261.54251323134,1927.24051831838,2130.95872465201,1796.28929350024,2319.41859866343,1976.02710034303,2010-06-30
"WS10180_13","FL",2010,"WaltonSmith","Middle_Keys",24.6735166666667,-81.2022333333333,10-06-30,"11:51:00 AM",0,1847.775,2208.48,NA,8.05221002522642,358.973342740108,3.94727744602943,NA,"",37.374,30.147,"16","Permanent","Single",10081,1090,"185",517,"Walton Smith","06/30/10","11:51:00 AM","12:00:00 AM",1849.69,"SOMMA",2189.75,NA,2010-06-30 11:51:00,2010-06-30 06:51:00,2010-06-30,"06:51:00","Jun","June","2010-06",6,6.85,"Spring","Wet",-81.205,24.675,"Inshore","LK","LK_8","T1","Normal",37.374,2127.7458568331,1780.2269436942,2130.95872465201,1796.28929350024,2205.64609897195,1845.89286640603,2010-06-30
