"CTDID","Region","Year","Mission","Location","Latitude","Longitude","UTCDate","UTCTime","Sample_Depth_m","DIC_umol_kg","TA_umol_kg","pH_measured","pH_calculated","pCO2_uatm","Aragonite_Sat_W","Salinity_Bottle","Conductivity_Sm","Salinity_CTD","Temperature_C","SiteID","Survey_design","Sample_frequency","bottle_id","sample_num","bottle_name","deployment_id","project_code","collected_date","collected_time","collected_timezone","calc_avg_dic","dic_machine","calc_avg_ta","calc_avg_ta_temp","UTCDate_Time","datetime","ESTDate","ESTTime","Month","Months","MY","MoY","ToD","Season","Precipitation","dec.lon","dec.lat","Zone","Sub_region","Reference","Transect","Extreme","BestSalinity","n35TA","n35DIC","TA_0","DIC_0","nTA","nDIC","Date"
"WS10067_1","FL",2010,"WaltonSmith","Upper_Keys",25.6463333333333,-80.1243333333333,10-03-08,"12:26:00 PM",0,2072.52,2424.23,NA,8.16059530966215,302.110985830766,3.8264656426637,NA,"",36.494,20.43233,"1","Permanent","Single",10021,1030,"1",517,"Walton Smith","03/08/10","12:26:00 PM","12:00:00 AM",2085.72,"SOMMA",2455.4,NA,2010-03-08 12:26:00,2010-03-08 07:26:00,2010-03-08,"07:26:00","Mar","March","2010-03",3,7.43333333333333,"Winter","Dry",-80.12666667,25.645,"Inshore","BB","BB_1","T1","ColdMortality",36.494,2391.92863374929,2044.90495209533,2130.95872465201,1796.28929350024,2420.32234153697,2068.83939658352,2010-03-08
"WS10067_2","FL",2010,"WaltonSmith","Upper_Keys",25.6456166666667,-80.0824666666667,10-03-08,"01:05:00 PM",0,2068.17,2418.43,NA,8.14144846405537,317.279428255789,3.83070912708624,NA,"",36.515,21.57933,"3","Permanent","Single",10022,1031,"2",517,"Walton Smith","03/08/10","01:05:00 PM","12:00:00 AM",2081.37,"SOMMA",2449.6,NA,2010-03-08 13:05:00,2010-03-08 08:05:00,2010-03-08,"08:05:00","Mar","March","2010-03",3,8.08333333333333,"Winter","Dry",-80.08333333,25.645,"Offshore","BB","BB_1","T1","ColdMortality",36.515,2384.83359353688,2039.43934417997,2130.95872465201,1796.28929350024,2414.43649933508,2064.39308079,2010-03-08
"WS10067_3","FL",2010,"WaltonSmith","Upper_Keys",25.10675,-80.3811666666667,10-03-08,"05:17:00 PM",0,2187.09,2558.48,NA,8.19166200781698,293.271837353628,4.06753019428167,NA,"",36.662,18.839,"4","Permanent","Single",10023,1032,"3",517,"Walton Smith","03/08/10","05:17:00 PM","12:00:00 AM",2200.29,"SOMMA",2589.65,NA,2010-03-08 17:17:00,2010-03-08 12:17:00,2010-03-08,"12:17:00","Mar","March","2010-03",3,12.2833333333333,"Winter","Dry",-80.38,25.10833333,"Inshore","UK","UK_3","T1","ColdMortality",36.662,2512.82206797626,2148.05979200549,2130.95872465201,1796.28929350024,2550.85057263354,2180.11587782895,2010-03-08
"WS10067_4","FL",2010,"WaltonSmith","Upper_Keys",25.0933333333333,-80.3545,10-03-08,"05:42:00 PM",0,2112.23,2446.23,NA,8.15220414794676,313.306736135031,3.62278257192661,NA,"",36.6815,18.8245,"5","Permanent","Single",10024,1033,"4",517,"Walton Smith","03/08/10","05:42:00 PM","12:00:00 AM",2125.43,"SOMMA",2477.4,NA,2010-03-08 17:42:00,2010-03-08 12:42:00,2010-03-08,"12:42:00","Mar","March","2010-03",3,12.7,"Winter","Dry",-80.355,25.09333333,"Inshore","UK","UK_3","T1","ColdMortality",36.6815,2401.29803416509,2073.43289335202,2130.95872465201,1796.28929350024,2440.43914706603,2106.42685106049,2010-03-08
"WS10067_5","FL",2010,"WaltonSmith","Upper_Keys",25.079,-80.333,10-03-08,"05:45:00 PM",0,2080.85,2428.08,NA,8.14721806522536,314.027165461195,3.78775954206774,NA,"",36.553,20.77,"5.5","Permanent","Single",10025,1034,"5",517,"Walton Smith","03/08/10","05:45:00 PM","12:00:00 AM",2094.05,"SOMMA",2459.25,NA,2010-03-08 17:45:00,2010-03-08 12:45:00,2010-03-08,"12:45:00","Mar","March","2010-03",3,12.75,"Winter","Dry",-80.33416667,25.07966667,"Mid channel","UK","UK_3","T1","ColdMortality",36.553,2391.86040431915,2049.81002369259,2130.95872465201,1796.28929350024,2423.64785095166,2076.60521657603,2010-03-08
"WS10067_6","FL",2010,"WaltonSmith","Upper_Keys",25.0615666666667,-80.3143,10-03-08,"06:22:00 PM",0,2067.41,2420.28,NA,8.15327392797499,307.407775718187,3.84774352436403,NA,"",36.507,21.055,"6","Permanent","Single",10026,1035,"6",517,"Walton Smith","03/08/10","06:22:00 PM","12:00:00 AM",2080.61,"SOMMA",2451.45,NA,2010-03-08 18:22:00,2010-03-08 13:22:00,2010-03-08,"13:22:00","Mar","March","2010-03",3,13.3666666666667,"Winter","Dry",-80.315,25.065,"Offshore","UK","UK_3","T1","ColdMortality",36.507,2387.1808964586,2039.13665243173,2130.95872465201,1796.28929350024,2416.3233194302,2063.7022255538,2010-03-08
"WS10067_7","FL",2010,"WaltonSmith","Upper_Keys",25.0484,-80.2867666666667,10-03-08,"06:50:00 PM",0,2062.71,2418.08,NA,8.14492842020165,313.780276407797,3.88832070897619,NA,"",36.512,21.867,"6.5","Permanent","Single",10027,1036,"7",517,"Walton Smith","03/08/10","06:50:00 PM","12:00:00 AM",2075.91,"SOMMA",2449.25,NA,2010-03-08 18:50:00,2010-03-08 13:50:00,2010-03-08,"13:50:00","Mar","March","2010-03",3,13.8333333333333,"Winter","Dry",-80.28766667,25.04833333,"Oceanic","UK","UK_3","T1","ColdMortality",36.512,2384.6843766158,2034.22232121732,2130.95872465201,1796.28929350024,2414.11462500119,2059.03051645272,2010-03-08
"WS10067_8","FL",2010,"WaltonSmith","Middle_Keys",24.8191666666667,-80.7545,10-03-08,"10:11:00 PM",0,2264.78,2625.78,NA,8.19272141333206,304.302933001136,4.0473533519397,NA,"",35.3565,18.173,"7","Permanent","Single",10028,1037,"8",517,"Walton Smith","03/08/10","10:11:00 PM","12:00:00 AM",2277.98,"SOMMA",2656.95,NA,2010-03-08 22:11:00,2010-03-08 17:11:00,2010-03-08,"17:11:00","Mar","March","2010-03",3,17.1833333333333,"Winter","Dry",-80.75666667,24.82083333,"Inshore","MK","MK_5","T1","ColdMortality",35.3565,2674.14488308222,2306.49553591959,2130.95872465201,1796.28929350024,2634.8942339148,2273.40924473679,2010-03-08
"WS10067_9","FL",2010,"WaltonSmith","Middle_Keys",24.792,-80.742,10-03-08,"10:32:00 PM",0,2065.2,2386.83,NA,8.14237314265438,315.541019139486,3.50708012753855,NA,"",35.915,19.382,"8","Permanent","Single",10029,1038,"9",517,"Walton Smith","03/08/10","10:32:00 PM","12:00:00 AM",2078.4,"SOMMA",2418,NA,2010-03-08 22:32:00,2010-03-08 17:32:00,2010-03-08,"17:32:00","Mar","March","2010-03",3,17.5333333333333,"Winter","Dry",-80.74166667,24.7925,"Mid channel","MK","MK_5","T1","ColdMortality",35.915,2392.99329204344,2070.53277641396,2130.95872465201,1796.28929350024,2387.49071291022,2065.89438343651,2010-03-08
"WS10067_10","FL",2010,"WaltonSmith","Middle_Keys",24.7628833333333,-80.725,10-03-08,"10:52:00 PM",0,2078.91,2390.38,NA,8.10017703861652,353.62017338051,3.40560266556558,NA,"",36.4985,20.5535,"9","Permanent","Single",10030,1039,"10",517,"Walton Smith","03/08/10","10:52:00 PM","12:00:00 AM",2092.11,"SOMMA",2421.55,NA,2010-03-08 22:52:00,2010-03-08 17:52:00,2010-03-08,"17:52:00","Mar","March","2010-03",3,17.8666666666667,"Winter","Dry",-80.72333333,24.76333333,"Offshore","MK","MK_5","T1","ColdMortality",36.4985,2358.23887449537,2050.95691002149,2130.95872465201,1796.28929350024,2386.89181328093,2075.10987299182,2010-03-08
